ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición
15,simple,,"Kraven: The Hunter (2024)",1,1,visible,"'Kraven: The Hunter' es la visceral historia de cómo y por qué surgió uno de los villanos más emblemáticos de Marvel. Aaron Taylor-Johnson interpreta al personaje principal en esta película para adultos, ambientada antes de su famosa venganza contra Spider-Man.","Kraven: The Hunter\n\nTítulo original: Kraven the Hunter\n\nPaís: USA\n\nEstreno en USA: 30/08/2024\n\nProductora: Columbia Pictures, Sony Pictures\n\nDistribuidora: Columbia Pictures\n\nDistribuidora en España: Sony Pictures Releasing De Espana\n\nDirector: J.C. Chandor\n\nGuión: Art Marcum, Matt Holloway, Richard Wenk\n\nReparto: Aaron Taylor-johnson, Ariana DeBose, Fred Hechinger, Alessandro Nivola, Christopher Abbott, Levi Miller, Russell Crowe",,,taxable,,1,4,2,0,0,,,,,1,,,700,Acción,,,http://localhost/danielstreaming/wp-content/uploads/2024/03/kraven-the-hunter.jpg,,,,,,,,,0
26,simple,,"Borderlands (2024)",1,0,visible,"Lilith (Blanchett), una forajida infame con un misterioso pasado, regresa a su planeta natal de Pandora para encontrar a la hija desaparecida del S.O.B más poderoso del universo, Atlas (Ramirez). Lilith forja una alianza con un equipo inesperado: Roland (Hart), un antiguo mercenario de élite ahora desesperado por la redención; Tina (Greenblatt), una demolicionista salvaje preadolescente; Krieg (Munteanu), el protector musculoso de Tina; Tannis (Curtis), una científica con un tenue control de la cordura; y Captrap (Black), un robot muy peculiar.\n\nEstos extraños héroes deberán luchar contra monstruos alienígenas y bandidos peligrosos para buscar y proteger a la chica perdida, que tal vez tenga la clave de un poder inimaginable. El destino del universo puede estar en sus manos... pero lucharán por algo más.","Título: Borderlands\n\nTítulo original: Borderlands\n\nPaís: USA\n\nEstreno en USA: 09/08/2024\n\nEstreno en España: 09/08/2024\n\nProductora: Lionsgate, Arad Productions, Picturestart\n\nDistribuidora: Lionsgate\n\nDistribuidora en España: Diamond Films Espana\n\nDirector: Eli Roth\n\nGuión: Craig Mazin, Gary Ross\n\nReparto: Cate Blanchett, Edgar Ramirez, Kevin Hart, Ariana Greenblatt, Florian Munteanu, Jamie Lee Curtis, Haley Bennett, Jack Black\n\nProductor: Avi Arad",,,taxable,,1,4,2,0,0,,,,,1,,,650,"Sin categorizar",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/borderlands-2024.jpg,,,,,,,,,0
39,simple,,"Furiosa: De la saga Mad Max (2024)",1,0,visible,"Al caer el mundo la joven Furiosa es arrebatada del Lugar Verde de Muchas Madres y cae en manos de la gran Horda de Motoristas liderada por el señor de la guerra Dementus. Arrasando el Páramo, se topan con la Ciudadela presidida por Inmortan Joe. Mientras los dos tiranos luchan por la supremacía, Furiosa deberá sobrevivir a duras pruebas mientras reúne los medios para poder encontrar el camino de vuelta a casa.","Título: Furiosa: De la saga Mad Max\n\nTítulo original: Furiosa: A Mad Max Saga\n\nPaís: USA, Australia\n\nEstreno en USA: 24/05/2024\n\nEstreno en España: 24/05/2024\n\nProductora: Kennedy Miller Productions, Village Roadshow, Warner Bros. Pictures\n\nDistribuidora: Warner Bros.\n\nDistribuidora en España: Warner Bros Pictures Espana\n\nDirector: George Miller\n\nGuión: George Miller, Nico Lathouris\n\nReparto: Anya Taylor-joy, Chris Hemsworth, Tom Burke, Alyla Browne, Angus Sampson, Daniel Webber, Nathan Jones, Goran D. Kleut, Lachy Hulme, CJ. Bloomfield, Rahel Romahn, Robert McFarlane, David Collins, Matuse, Maleeka Gasbarri, Florence Mezzara, Alex Time",,,taxable,,1,8,2,0,0,,,,,0,,,600,"Acción, Ciencia Ficción",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/furiosa-a-mad-max.jpg,,,,,,,,,0
89,simple,,"El especialista (2024)",1,0,visible,"Es un doble de acción, y al igual que todos en la comunidad de especialistas, sale volando, le disparan, se estrella, se tira desde ventanas y cae desde las alturas más extremas, todo para nuestro entretenimiento. Y ahora, tras un accidente que casi acaba con su carrera, este héroe de clase trabajadora debe seguir la pista de una estrella de cine desaparecida, resolver una conspiración y tratar de recuperar el amor de su vida mientras sigue haciendo su trabajo. ¿Qué podría salir bien?","Título: El especialista\n\nTítulo original: The Fall Guy\n\nPaís: USA\n\nEstreno en USA: 03/05/2024\n\nEstreno en España: 26/04/2024\n\nProductora: 87north Productions, Entertainment 360, Hyde Park Entertainment, Parkes Macdonald Image Nation, Wwe Studios, Arcana\n\nDistribuidora: Universal Pictures\n\nDistribuidora en España: Universal Pictures Espana\n\nDirector: David Leitch\n\nGuión: Drew Pearce\n\nReparto: Ryan Gosling, Emily Blunt, Aaron Taylor-johnson, Stephanie Hsu, Winston Duke, Hannah Waddingham, Shakriya Tarinyawat, Tahlia Crinis",,,taxable,,1,3,2,0,0,,,,,1,,,700,Acción,,,http://localhost/danielstreaming/wp-content/uploads/2024/03/el_especialista.jpg,,,,,,,,,0
90,simple,,"Yo no soy esa (2024)",1,0,visible,"En <strong><em>Yo No Soy Esa</em></strong> Susana despierta tras 20 años en coma. Ahora es una adolescente en un cuerpo de señora en pleno siglo XXI. Susana tendrá que manejarse en un mundo en el que nada le es familiar y tendrá que aprender a vivir en él.","Título: Yo no soy esa\n\nTítulo original: Yo no soy esa\n\nPaís: España\n\nEstreno en España: 25/10/2024\n\nProductora: Sony Pictures, Cahuenga Filmmakers, El Estudio\n\nDistribuidora en España: Sony Pictures Releasing De Espana\n\nDirector: María Ripoll\n\nGuión: Olga Iglesias\n\nReparto: Verónica Echegui, Silma López, Angela Molina, Daniel Grao, Adam Jezierski",,,taxable,,1,7,2,0,0,,,,,1,,,650,Comedia,,,http://localhost/danielstreaming/wp-content/uploads/2024/03/yo_no_soy_esa.jpg,,,,,,,,,0
91,simple,,"Amigos imaginarios (2024)",1,0,visible,"Comedia fantástica que trata sobre una niña que descubre que puede ver a los amigos imaginarios de todo el mundo, y lo que hace con ese superpoder mientras se embarca en una aventura mágica para reconectar a los amigos imaginarios olvidados con sus hijos.","Título: Amigos imaginarios\n\nTítulo original: IF\n\nPaís: USA\n\nEstreno en USA: 17/05/2024\n\nEstreno en España: 17/05/2024\n\nProductora: Sunday Night, Maximum Effort\n\nDistribuidora: Paramount Pictures\n\nDistribuidora en España: Paramount Pictures Spain\n\nDirector: John Krasinski\n\nGuión: John Krasinski\n\nReparto: Ryan Reynolds, John Krasinski, Cailey Fleming, Fiona Shaw, Phoebe Waller-Bridge, Louis Gossett Jr., Steve Carell",,,taxable,,1,5,3,0,0,,,,,1,,,600,"Aventuras, Comedia",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/if.jpg,,,,,,,,,0
92,simple,,"Godzilla y Kong: El nuevo imperio (2024)",1,1,visible,"<section class=""highlight"">\n<div class=""info"">\n\nUna aventura cinematográfica completamente nueva, que enfrentará al todopoderoso Kong y al temible Godzilla contra una colosal amenaza desconocida escondida dentro de nuestro mundo. La nueva y épica película profundizará en las historias de estos titanes, sus orígenes y los misterios de Isla Calavera y más allá, mientras descubre la batalla mítica que ayudó a forjar a estos seres extraordinarios y los unió a la humanidad para siempre.\n\n</div>\n</section>","Título: Godzilla y Kong: El nuevo imperio\n\nTítulo original: Godzilla x Kong: The New Empire\n\nPaís: USA\n\nEstreno en USA: 29/03/2024\n\nEstreno en España: 27/03/2024\n\nProductora: Legendary Pictures, Warner Bros. Pictures\n\nDistribuidora: Warner Bros.\n\nDistribuidora en España: Warner Bros.\n\nDirector: Adam Wingard\n\nGuión: Terry Rossio, Simon Barrett, Jeremy Slater\n\nReparto: Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle, Alex Ferns, Fala Chen",,,taxable,,1,10,1,0,0,,,,,1,,,750,"Acción, Ciencia Ficción",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/godzilla_y_kong_el_nuevo_imperio.jpg,,,,,,,,,0
93,simple,,"La primera profecía (2024)",1,1,visible,"<section class=""highlight"">\n<div class=""info"">Cuando una joven estadounidense es enviada a Roma para iniciar una vida de servicio a la Iglesia, se topa con una oscuridad que pone en cuestión su propia fe y descubre una conspiración aterradora que espera provocar el nacimiento de la encarnación del mal.</div>\n</section>","Título: La primera profecía\n\nTítulo original: The First Omen\n\nPaís: USA\n\nEstreno en USA: 05/04/2024\n\nEstreno en España: 05/04/2024\n\nProductora: 20th Century Studios, Phantom Four\n\nDistribuidora: 20th Century Studios\n\nDistribuidora en España: 20th Century Studios España\n\nDirector: Arkasha Stevenson\n\nGuion: Tim Smith, Arkasha Stevenson, Keith Thomas\n\nReparto: Nell Tiger Free, Tawfeek Barhom, Sonia Braga, Ralph Ineson, Bill Nighy",,,taxable,,1,9,2,0,0,,,,,1,,,600,Terror,,,http://localhost/danielstreaming/wp-content/uploads/2024/03/la_primera_profecia.jpg,,,,,,,,,0
94,simple,,"Cazafantasmas: Imperio helado (2024)",1,0,visible,"En '<strong>Cazafantasmas: Imperio helado</strong>', la familia Spengler regresa al lugar donde empezó todo -el icónico parque de bomberos de Nueva York- para formar equipo con los Cazafantasmas originales, que han desarrollado un laboratorio de investigación ultrasecreto para llevar la caza de fantasmas al siguiente nivel.\n\nPero cuando el descubrimiento de un antiguo artefacto desata una fuerza maligna, los nuevos y los viejos Cazafantasmas deben unir sus fuerzas para proteger su hogar y salvar al mundo de una segunda Edad de Hielo.","Título: Cazafantasmas: Imperio helado\n\nTítulo original: Ghostbusters: Frozen Empire\n\nPaís: USA\n\nEstreno en USA: 22/03/2024\n\nEstreno en España: 22/03/2024\n\nProductora: Columbia Pictures\n\nDistribuidora: Sony Pictures Entertainment\n\nDistribuidora en España: Sony Pictures Releasing De Espana\n\nDirector: Gil Kenan\n\nGuión: Gil Kenan, Jason Reitman\n\nReparto: Carrie Coon, Mckenna Grace, Paul Rudd, Finn Wolfhard, Ernie Hudson, Dan Aykroyd, Bill Murray, Kumail Nanjiani, Patton Oswalt, Emily Alyn Lind, William Atherton, Annie Potts, Celeste O'Connor",,,taxable,,1,7,2,0,0,,,,,1,,,600,"Acción, Comedia, Fantasia",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/cazafantasmas_imperio_helado.jpg,,,,,,,,,0
95,simple,,"El reino del planeta de los simios (2024)",1,1,visible,"<section class=""highlight"">\n<div class=""info"">\n\nEl director Wes Ball da nueva vida a la franquicia épica y global ambientada en varias generaciones del futuro tras el reinado de César, en la que los simios son la especie dominante que vive en armonía y los humanos han quedado reducidos a vivir en la sombra. Mientras un nuevo y tiránico líder simio construye su imperio, un joven simio emprende un angustioso viaje que le llevará a cuestionarse todo lo que sabe sobre el pasado y a tomar decisiones que definirán el futuro de simios y humanos por igual.\n\n</div>\n</section>","Título: El reino del planeta de los simios\n\nTítulo original: Kingdom of the Planet of the Apes\n\nPaís: USA\n\nEstreno en USA: 10/05/2024\n\nEstreno en España: 10/05/2024\n\nProductora: 20th Century Studios\n\nDistribuidora: 20th Century Studios\n\nDistribuidora en España: 20th Century Studios Espana\n\nDirector: Wes Ball\n\nGuión: Josh Friedman, Rick Jaffa, Amanda Silver, Patrick Aison\n\nReparto: Owen Teague, Freya Allen, Kevin Durand, Dichen Lachman, Peter Macon, William H. Macy",,,taxable,,1,6,3,0,0,,,,,1,,,750,"Ciencia Ficción",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/el_reino_del_planeta_de_los_simios.jpg,,,,,,,,,0
96,simple,,"Beetlejuice Beetlejuice (2024)",1,0,visible,"<section class=""highlight"">\n<div class=""info"">Secuela del clásico filme de los años ochenta, 'Bitelchús'.</div>\n</section>","Título: Beetlejuice Beetlejuice\n\nTítulo original: Beetlejuice Beetlejuice\n\nPaís: USA\n\nEstreno en USA: 06/09/2024\n\nProductora: Plan B\n\nDistribuidora: Warner Bros.\n\nDistribuidora en España: Warner Bros.\n\nDirector: Tim Burton\n\nGuión: Alfred Gough, Miles Millar\n\nReparto: Jenna Ortega, Michael Keaton, Winona Ryder, Monica Bellucci, Justin Theroux, Catherine O'Hara, Willem Dafoe",,,taxable,,1,7,2,0,0,,,,,1,,,600,Fantasia,,,http://localhost/danielstreaming/wp-content/uploads/2024/03/beetlejuice_beetlejuice.jpg,,,,,,,,,0
97,simple,,"Dune: Parte dos (2024)",1,0,visible,"<section class=""highlight"">\n<div class=""info"">\n\n'<strong>Dune: Parte dos</strong>' explora el mítico viaje de Paul Atreides mientras se une a Chani y a los Fremen en un camino de venganza contra los conspiradores que destruyeron a su familia. Ante la disyuntiva de elegir entre el amor de su vida y el destino del universo conocido, se esfuerza por evitar un futuro terrible que sólo él puede prever.\n\n</div>\n</section>","Título: Dune: Parte dos\n\nTítulo original: Dune: Part Two\n\nPaís: USA\n\nEstreno en USA: 01/03/2024\n\nEstreno en España: 01/03/2024\n\nProductora: Legendary Pictures\n\nDistribuidora: Warner Bros Pictures\n\nDistribuidora en España: Warner Bros Pictures Espana\n\nDirector: Denis Villeneuve\n\nGuión: Jon Spaihts\n\nReparto: Timothee Chalamet, Rebecca Ferguson, Zendaya, Javier Bardem, Dave Bautista, Josh Brolin, Stellan Skarsgård, Charlotte Rampling, Stephen McKinley Henderson, Florence Pugh, Lea Seydoux, Austin Butler, Tim Blake Nelson, Christopher Walken",,,taxable,,1,5,2,0,0,,,,,1,,,650,"Ciencia Ficción",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/dune_parte_dos.jpg,,,,,,,,,0
102,simple,,"Beekeeper: El protector (2024)",1,1,visible,"<section class=""highlight"">\n<div class=""info"">\n\nEn esta ocasión Statham da vida a un ""apicultor"": Un operativo de alto nivel a quien solo se recurre en situaciones extremas de emergencia nacional. Cuando Adam Clay, ya retirado, se vuelve a poner en marcha de forma independiente después de descubrir una conspiración en las más altas esferas del gobierno, ningún mecanismo de seguridad puede evitar que utilice todos sus recursos para hacer... justicia.\n\n</div>\n</section>","Título: Beekeeper: El protector\n\nTítulo original: The Beekeeper\n\nPaís: USA\n\nEstreno en USA: 12/01/2024\n\nEstreno en España: 12/01/2024\n\nProductora: Cedar Park Entertainment, Miramax\n\nDistribuidora: Mgm\n\nDistribuidora en España: Diamond Films Espana\n\nDirector: David Ayer\n\nGuión: Kurt Wimmer\n\nReparto: Jason Statham, Emmy Raver-Lampman, Josh Hutcherson, Bobby Naderi, Minnie Driver, Phylicia Rashad, Jeremy Irons",,,taxable,,1,5,2,0,0,,,,,1,,,,Acción,,,http://localhost/danielstreaming/wp-content/uploads/2024/03/beekeeper.jpg,,,,,,,,,0
105,simple,,"Deadpool y Lobezno (2024)",1,1,visible,"<section class=""highlight"">\n<div class=""info"">Tercera entrega de ""<em>Deadpool""</em>.</div>\n</section>","Título: Deadpool y Lobezno\n\nTítulo original: Deadpool &amp; Wolverine\n\nPaís: USA\n\nEstreno en USA: 26/07/2024\n\nEstreno en España: 26/07/2024\n\nProductora: 20th Century Fox, Marvel Studios, Maximum Effort\n\nDistribuidora: Walt Disney Studios Motion Pictures\n\nDistribuidora en España: Buena Vista International Spain\n\nDirector: Shawn Levy\n\nGuión: Paul Wernick, Rhett Reese, Zeb Wells, Shawn Levy, Ryan Reynolds\n\nReparto: Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew MacFadyen, Rob Delaney, Monica Baccarin, Stefan Kapicic, Brianna Hildebrand, Shioli Kutsuna, Leslie Uggams, Karan Soni, Jennifer Garner",,,taxable,,1,5,2,0,0,,,,,1,,,700,"Acción, Ciencia Ficción, Comedia",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/deadpool_y_lobezno.jpg,,,,,,,,,0
